function,count,pct,description
additive,8060,89.8,"additive — coordinates clauses, phrases, or words (most common)"
adjunctive,684,7.6,"adjunctive — ""also""; adds a parallel or supplementary element"
ascensive,118,1.3,"ascensive — ""even / indeed""; intensifies or raises the rhetorical register"
correlative,41,0.5,"correlative — ""both … and""; pairs two elements symmetrically"
adversative,41,0.5,"adversative — ""but / yet / although""; marks contrast or concession"
temporal,16,0.2,"temporal — ""then""; indicates sequence in narrative"
explicative,13,0.1,"explicative — ""that""; introduces a content clause"
other,5,0.1,other — miscellaneous / context-dependent uses
