term,strongs,book,chapter,verse,word,morph,kjv_verse
παρακαλέω,G3870,Act,16,39,παρεκάλεσαν,V-AAI-3P,"And they came and besought them, and brought them out, and desired them to depart out of the city."
παρακαλέω,G3870,Act,16,40,παρεκάλεσαν,V-AAI-3P,"And they went out of the prison, and entered into the house of Lydia: and when they had seen the brethren, they comforted them, and departed."
παρακαλέω,G3870,Act,19,31,παρεκάλουν,V-IAI-3P,"And certain of the chief of Asia, which were his friends, sent unto him, desiring him that he would not adventure himself into the theatre."
παρακαλέω,G3870,Act,20,1,παρακαλέσας,V-AAP-NSM,"And after the uproar was ceased, Paul called unto him the disciples, and embraced them, and departed for to go into Macedonia."
παρακαλέω,G3870,Act,20,2,παρακαλέσας,V-AAP-NSM,"And when he had gone over those parts, and had given them much exhortation, he came into Greece,"
παρακαλέω,G3870,Act,20,12,παρεκλήθησαν,V-API-3P,"And they brought the young man alive, and were not a little comforted."
παρακαλέω,G3870,Act,21,12,παρεκαλοῦμεν,V-IAI-1P,"And when we heard these things, both we, and they of that place, besought him not to go up to Jerusalem."
παρακαλέω,G3870,Act,24,4,παρακαλῶ,V-PAI-1S,"Notwithstanding, that I be not further tedious unto thee, I pray thee that thou wouldest hear us of thy clemency a few words."
παρακαλέω,G3870,Act,25,2,παρεκάλουν,V-IAI-3P,"Then the high priest and the chief of the Jews informed him against Paul, and besought him,"
παρακαλέω,G3870,Act,27,33,παρεκάλει,V-IAI-3S,"And while the day was coming on, Paul besought them all to take meat, saying, This day is the fourteenth day that ye have tarried and continued fasting, having taken nothing."
παρακαλέω,G3870,Act,27,34,παρακαλῶ,V-PAI-1S,Wherefore I pray you to take some meat: for this is for your health: for there shall not an hair fall from the head of any of you.
παρακαλέω,G3870,Act,28,14,παρεκλήθημεν,V-API-1P,"Where we found brethren, and were desired to tarry with them seven days: and so we went toward Rome."
παρακαλέω,G3870,Act,28,20,παρεκάλεσα,V-AAI-1S,"For this cause therefore have I called for you, to see you, and to speak with you: because that for the hope of Israel I am bound with this chain."
παρακαλέω,G3870,Rom,12,1,Παρακαλῶ,V-PAI-1S,"I beseech you therefore, brethren, by the mercies of God, that ye present your bodies a living sacrifice, holy, acceptable unto God, which is your reasonable service."
παρακαλέω,G3870,Rom,12,8,παρακαλῶν,V-PAP-NSM,"Or he that exhorteth, on exhortation: he that giveth, let him do it with simplicity; he that ruleth, with diligence; he that sheweth mercy, with cheerfulness."
παρακαλέω,G3870,Rom,15,30,Παρακαλῶ,V-PAI-1S,"Now I beseech you, brethren, for the Lord Jesus Christ’s sake, and for the love of the Spirit, that ye strive together with me in your prayers to God for me;"
παρακαλέω,G3870,Rom,16,17,Παρακαλῶ,V-PAI-1S,"Now I beseech you, brethren, mark them which cause divisions and offences contrary to the doctrine which ye have learned; and avoid them."
παρακαλέω,G3870,1Co,1,10,Παρακαλῶ,V-PAI-1S,"Now I beseech you, brethren, by the name of our Lord Jesus Christ, that ye all speak the same thing, and that there be no divisions among you; but that ye be perfectly joined together in the same mind and in the same judgment."
παρακαλέω,G3870,1Co,4,13,"παρακαλοῦμεν,",V-PAI-1P,"Being defamed, we intreat: we are made as the filth of the world, and are the offscouring of all things unto this day."
παρακαλέω,G3870,1Co,4,16,Παρακαλῶ,V-PAI-1S,"Wherefore I beseech you, be ye followers of me."
παρακαλέω,G3870,1Co,14,31,παρακαλῶνται·,V-PPS-3P,"For ye may all prophesy one by one, that all may learn, and all may be comforted."
παρακαλέω,G3870,1Co,16,12,παρεκάλεσα,V-AAI-1S,"As touching our brother Apollos, I greatly desired him to come unto you with the brethren: but his will was not at all to come at this time; but he will come when he shall have convenient time."
παρακαλέω,G3870,1Co,16,15,Παρακαλῶ,V-PAI-1S,"I beseech you, brethren, (ye know the house of Stephanas, that it is the firstfruits of Achaia, and that they have addicted themselves to the ministry of the saints,)"
παρακαλέω,G3870,2Co,1,4,παρακαλῶν,V-PAP-NSM,"Who comforteth us in all our tribulation, that we may be able to comfort them which are in any trouble, by the comfort wherewith we ourselves are comforted of God."
παρακαλέω,G3870,2Co,1,4,παρακαλεῖν,V-PAN,"Who comforteth us in all our tribulation, that we may be able to comfort them which are in any trouble, by the comfort wherewith we ourselves are comforted of God."
παρακαλέω,G3870,2Co,1,4,παρακαλούμεθα,V-PPI-1P,"Who comforteth us in all our tribulation, that we may be able to comfort them which are in any trouble, by the comfort wherewith we ourselves are comforted of God."
παρακαλέω,G3870,2Co,1,6,"παρακαλούμεθα,",V-PPI-1P,"And whether we be afflicted, it is for your consolation and salvation, which is effectual in the enduring of the same sufferings which we also suffer: or whether we be comforted, it is for your consolation and salvation."
παρακαλέω,G3870,2Co,2,7,"παρακαλέσαι,",V-AAN,"So that contrariwise ye ought rather to forgive him, and comfort him, lest perhaps such a one should be swallowed up with overmuch sorrow."
παρακαλέω,G3870,2Co,2,8,παρακαλῶ,V-PAI-1S,Wherefore I beseech you that ye would confirm your love toward him.
