ref,book,chapter,verse,hebrew,morph,gloss,lxx_strong,lxx_word,vulgate,kjv
Exo 34:29,Exo,34,29,קָרַ֛ן,Vqp3ms,it.shone,1392,δεδόχασται,"Cumque descenderet Moyses de monte Sinai, tenebat duas tabulas testimonii, et ignorabat quod cornuta esset facies sua ex consortio sermonis Domini.","And it came to pass, when Moses came down from mount Sinai with the two tables of testimony in Moses’ hand, when he came down from the mount, that Moses wist not that the skin of his face shone while he talked with him."
Exo 34:30,Exo,34,30,קָרַ֖ן,Vqp3ms,it.shone,,,"Videntes autem Aaron et filii Israël cornutam Moysi faciem, timuerunt prope accedere.","And when Aaron and all the children of Israel saw Moses, behold, the skin of his face shone; and they were afraid to come nigh him."
Exo 34:35,Exo,34,35,קָרַ֔ן,Vqp3ms,it.shone,1392,δεδόχασται,"Qui videbant faciem egredientis Moysi esse cornutam, sed operiebat ille rursus faciem suam, siquando loquebatur ad eos.","And the children of Israel saw the face of Moses, that the skin of Moses’ face shone: and Moses put the vail upon his face again, until he went in to speak with him."
Psa 69:32,Psa,69,32,מַקְרִ֥ן,Vhrmsa,having.horns,,,,"The humble shall see this, and be glad: and your heart shall live that seek God."
